segment_id,start_time,end_time,duration,segment_type
391,221.003,221.045,0.043,speech
392,222.411,223.541,1.131,surrogacy
393,223.797,223.872,0.075,speech
394,223.989,224.021,0.032,surrogacy
395,224.224,224.299,0.075,speech
396,224.64,224.683,0.043,surrogacy
397,226.4,226.56,0.16,speech
398,226.635,227.029,0.395,surrogacy
399,227.104,228.875,1.771,speech
400,229.163,229.248,0.085,surrogacy
401,229.376,229.451,0.075,speech
402,229.589,229.664,0.075,surrogacy
403,229.813,229.856,0.043,speech
404,230.016,230.059,0.043,surrogacy
405,230.229,230.272,0.043,speech
406,230.443,230.539,0.096,surrogacy
407,230.656,230.699,0.043,speech
408,230.891,230.987,0.096,surrogacy
409,231.36,231.467,0.107,speech
410,233.589,234.357,0.768,surrogacy
411,234.421,235.275,0.853,speech
412,235.349,235.541,0.192,surrogacy
413,235.573,236.075,0.501,speech
414,236.181,236.757,0.576,surrogacy
415,237.131,237.173,0.043,speech
416,237.547,237.557,0.011,surrogacy
417,237.739,237.803,0.064,speech
418,238.165,238.208,0.043,surrogacy
419,238.347,238.4,0.053,speech
420,238.571,238.624,0.053,surrogacy
421,238.763,238.827,0.064,speech
422,238.987,239.019,0.032,surrogacy
423,239.2,239.253,0.053,speech
424,239.403,239.424,0.021,surrogacy
425,239.616,239.691,0.075,speech
426,240.043,240.149,0.107,surrogacy
427,242.496,243.808,1.312,speech
428,244.416,244.459,0.043,surrogacy
429,244.64,244.715,0.075,speech
430,244.864,244.907,0.043,surrogacy
431,245.077,245.131,0.053,speech
432,247.381,248.192,0.811,surrogacy
433,248.341,249.013,0.672,speech
434,249.387,249.429,0.043,surrogacy
435,249.568,249.611,0.043,speech
436,249.792,249.824,0.032,surrogacy
437,249.984,250.027,0.043,speech
438,250.208,250.261,0.053,surrogacy
439,250.624,250.731,0.107,speech
440,253.344,254.752,1.408,surrogacy
441,254.805,254.965,0.16,speech
442,255.125,255.445,0.32,surrogacy
443,255.595,255.733,0.139,speech
444,256.107,256.203,0.096,surrogacy
445,256.331,256.363,0.032,speech
446,256.544,256.619,0.075,surrogacy
447,256.747,256.811,0.064,speech
448,256.971,257.045,0.075,surrogacy
449,257.152,257.248,0.096,speech
450,257.376,257.472,0.096,surrogacy
451,257.6,257.643,0.043,speech
452,258.027,258.144,0.117,surrogacy
453,260.512,260.843,0.331,speech
454,260.917,261.248,0.331,surrogacy
455,261.365,261.792,0.427,speech
456,261.803,262.037,0.235,surrogacy
457,262.357,262.411,0.053,speech
458,262.549,262.603,0.053,surrogacy
459,262.773,262.827,0.053,speech
460,262.976,263.072,0.096,surrogacy
461,263.211,263.264,0.053,speech
462,263.659,263.776,0.117,surrogacy
463,265.909,266.773,0.864,speech
464,266.869,267.723,0.853,surrogacy
465,268.0,268.085,0.085,speech
466,268.192,268.267,0.075,surrogacy
467,268.405,268.48,0.075,speech
468,268.597,268.64,0.043,surrogacy
469,268.811,268.864,0.053,speech
470,269.003,269.067,0.064,surrogacy
471,269.227,269.269,0.043,speech
472,269.664,269.771,0.107,surrogacy
473,273.301,273.824,0.523,speech
474,273.867,274.016,0.149,surrogacy
475,274.037,274.208,0.171,speech
476,274.283,274.965,0.683,surrogacy
477,275.083,275.275,0.192,speech
478,275.552,275.605,0.053,surrogacy
479,275.765,275.851,0.085,speech
480,275.968,276.011,0.043,surrogacy
481,276.171,276.203,0.032,speech
482,276.373,276.416,0.043,surrogacy
483,276.587,276.64,0.053,speech
484,276.811,276.885,0.075,surrogacy
485,277.237,277.333,0.096,speech
486,281.771,282.549,0.779,surrogacy
487,282.603,282.752,0.149,speech
488,282.827,283.349,0.523,surrogacy
489,283.467,283.755,0.288,speech
490,283.915,284.0,0.085,surrogacy
491,284.107,284.149,0.043,speech
492,284.341,284.395,0.053,surrogacy
493,284.512,284.555,0.043,speech
494,284.725,284.768,0.043,surrogacy
495,284.928,285.013,0.085,speech
496,285.163,285.216,0.053,surrogacy
497,285.621,285.717,0.096,speech
